step,train/loss,train/epsilon,train/replay_size,train/q_mean,train/q_max,train/q_min,train/updates,epis/reward,epis/reward_ema,epis/reward_mean100,epis/len,epis/len_ema,epis/len_mean100,epis/final_score,epis/death_wall,epis/death_self,epis/death_starvation
10,,,,,,,,-1.7195,-1.7195,-1.7195,10,10,10.0,0,1.0,0.0,0.0
30,,,,,,,,-1.4695,-1.7069999999999999,-1.5945,20,10.5,15.0,0,1.0,0.0,0.0
56,,,,,,,,2.173499999999997,-1.512975,-0.33850000000000097,26,11.275,18.666666666666668,1,1.0,0.0,0.0
67,,,,,,,,-1.8975000000000002,-1.53220125,-0.7282500000000007,11,11.26125,16.75,0,1.0,0.0,0.0
85,,,,,,,,-1.8835000000000002,-1.5497661875,-0.9593000000000007,18,11.5981875,17.0,0,1.0,0.0,0.0
93,,,,,,,,0.6142499999999997,-1.441565378125,-0.6970416666666672,8,11.418278125,15.5,1,0.0,1.0,0.0
152,,,,,,,,-1.8315000000000001,-1.46106210921875,-0.8591071428571434,59,13.797364218750001,21.714285714285715,0,1.0,0.0,0.0
175,,,,,,,,-1.7935,-1.4776840037578123,-0.9759062500000004,23,14.2574960078125,21.875,0,1.0,0.0,0.0
198,,,,,,,,-1.3735000000000002,-1.4724748035699216,-1.0200833333333337,23,14.694621207421875,22.0,0,1.0,0.0,0.0
327,,,,,,,,-2.0415000000000005,-1.5009260633914256,-1.1222250000000005,129,20.40989014705078,32.7,0,1.0,0.0,0.0
359,,,,,,,,-1.9255000000000002,-1.5221547602218544,-1.1952500000000006,32,20.98939563969824,32.63636363636363,0,1.0,0.0,0.0
395,,,,,,,,-1.6575000000000002,-1.5289220222107616,-1.2337708333333337,36,21.739925857713327,32.916666666666664,0,1.0,0.0,0.0
406,,,,,,,,-1.8275000000000001,-1.5438509211002234,-1.279442307692308,11,21.20292956482766,31.23076923076923,0,1.0,0.0,0.0
432,,,,,,,,-1.8375000000000001,-1.5585333750452122,-1.3193035714285717,26,21.442783086586275,30.857142857142858,0,1.0,0.0,0.0
453,,,,,,,,1.5732499999999996,-1.4019442062929515,-1.126466666666667,21,21.42064393225696,30.2,1,1.0,0.0,0.0
465,,,,,,,,-2.0055,-1.4321219959783038,-1.1814062500000004,12,20.949611735644115,29.0625,0,1.0,0.0,0.0
479,,,,,,,,-1.8715000000000002,-1.4540908961793886,-1.2220000000000002,14,20.602131148861908,28.176470588235293,0,1.0,0.0,0.0
487,,,,,,,,-1.8547500000000001,-1.474123851370419,-1.2571527777777782,8,19.97202459141881,27.055555555555557,0,1.0,0.0,0.0
496,,,,,,,,-1.6815000000000002,-1.4844926588018978,-1.2794868421052634,9,19.423423361847867,26.105263157894736,0,1.0,0.0,0.0
506,,,,,,,,-1.7895,-1.499743025861803,-1.3049875000000004,10,18.952252193755474,25.3,0,1.0,0.0,0.0
541,,,,,,,,-1.9695000000000003,-1.5232308745687129,-1.3366309523809528,35,19.7546395840677,25.761904761904763,0,1.0,0.0,0.0
561,,,,,,,,-1.8195000000000001,-1.5380443308402771,-1.3585795454545457,20,19.766907604864315,25.5,0,1.0,0.0,0.0
569,,,,,,,,0.1547499999999995,-1.4534046142982633,-1.2927826086956526,8,19.178562224621096,24.73913043478261,1,1.0,0.0,0.0
594,,,,,,,,0.19749999999999956,-1.37085938358335,-1.2306875000000004,25,19.46963411339004,24.75,1,1.0,0.0,0.0
611,,,,,,,,-1.7755,-1.3910914144041826,-1.2524800000000003,17,19.34615240772054,24.44,0,1.0,0.0,0.0
647,,,,,,,,-1.5175,-1.3974118436839733,-1.2626730769230774,36,20.178844787334512,24.884615384615383,0,1.0,0.0,0.0
663,,,,,,,,-1.7375,-1.4144162514997747,-1.2802592592592594,16,19.969902547967788,24.555555555555557,0,1.0,0.0,0.0
701,,,,,,,,-1.8035,-1.433870438924786,-1.2989464285714287,38,20.871407420569398,25.035714285714285,0,1.0,0.0,0.0
710,,,,,,,,-1.5415,-1.4392519169785467,-1.3073103448275865,9,20.277837049540928,24.482758620689655,0,1.0,0.0,0.0
778,,,,,,,,-1.6835000000000002,-1.4514643211296194,-1.3198500000000002,68,22.66394519706388,25.933333333333334,0,1.0,0.0,0.0
787,,,,,,,,-1.8215000000000001,-1.4699661050731385,-1.3360322580645163,9,21.980747937210687,25.387096774193548,0,1.0,0.0,0.0
798,,,,,,,,-1.8275000000000001,-1.4878427998194814,-1.3513906250000003,11,21.431710540350153,24.9375,0,1.0,0.0,0.0
828,,,,,,,,-1.9195000000000002,-1.5094256598285072,-1.3686060606060608,30,21.860125013332645,25.09090909090909,0,1.0,0.0,0.0
846,,,,,,,,0.2949999999999997,-1.4192043768370817,-1.3196764705882356,18,21.66711876266601,24.88235294117647,1,1.0,0.0,0.0
858,,,,,,,,-1.7955,-1.4380191579952275,-1.3332714285714289,12,21.18376282453271,24.514285714285716,0,1.0,0.0,0.0
883,,,,,,,,-1.7995,-1.456093200095466,-1.3462222222222224,25,21.374574683306072,24.52777777777778,0,1.0,0.0,0.0
903,,,,,,,,-1.6095000000000002,-1.4637635400906928,-1.353337837837838,20,21.305845949140767,24.405405405405407,0,1.0,0.0,0.0
913,,,,,,,,-1.9295,-1.4870503630861582,-1.3685000000000003,10,20.74055365168373,24.026315789473685,0,1.0,0.0,0.0
934,,,,,,,,-0.12725000000000053,-1.4190603449318504,-1.3366730769230772,21,20.75352596909954,23.94871794871795,1,1.0,0.0,0.0
1005,,,,,,,,-1.8675000000000002,-1.4414823276852577,-1.3499437500000002,71,23.265849670644563,25.125,0,1.0,0.0,0.0
